"Air Lock","While this Pokemon is active, the effects of weather conditions are disabled.",
"Shadow Tag","Prevents opposing Pokemon from choosing to switch out.",
"Shed Skin","This Pokemon has a 33% chance to have its non-volatile status condition cured at the end of each turn.",
"Shell Armor","This Pokemon cannot be struck by a critical hit.",
"Shield Dust","This Pokemon is not affected by the secondary effect of another Pokemon's attack.",
"Soundproof","This Pokemon is immune to sound-based moves, including Heal Bell.",
"Speed Boost","This Pokemon's Speed is raised by 1 stage at the end of each full turn it has been on the field.",
"Static","1/3 chance a Pokemon making contact with this Pokemon will be paralyzed. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Stench","No competitive use.",
"Sticky Hold","This Pokemon cannot lose its held item due to another Pokemon's attack, even if the attack knocks out this Pokemon. A Sticky Barb will be transferred to other Pokemon regardless of this Ability.",
"Sturdy","OHKO moves fail when used against this Pokemon.",
"Suction Cups","This Pokemon cannot be forced to switch out by another Pokemon's attack or item.",
"Swarm","When this Pokemon has 1/3 or less of its maximum HP, rounded down, its Bug-type attacks have their power multiplied by 1.5.",
"Swift Swim","If Rain Dance is active, this Pokemon's Speed is doubled.",
"Synchronize","If another Pokemon burns, paralyzes, or poisons this Pokemon, that Pokemon receives the same non-volatile status condition. If another Pokemon badly poisons this Pokemon, that Pokemon becomes poisoned.",
"Thick Fat","If a Pokemon uses a Fire- or Ice-type attack against this Pokemon, that Pokemon's Special Attack is halved when calculating the damage to this Pokemon.",
"Torrent","When this Pokemon has 1/3 or less of its maximum HP, rounded down, its Water-type attacks have their power multiplied by 1.5.",
"Trace","On switch-in, this Pokemon copies a random opposing Pokemon's Ability.",
"Truant","This Pokemon skips every other turn instead of using a move. If this Pokemon replaces a Pokemon that fainted during end-of-turn effects, its first turn will be skipped.",
"Vital Spirit","This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.",
"Volt Absorb","This Pokemon is immune to damaging Electric-type moves and restores 1/4 of its maximum HP, rounded down, when hit by one.",
"Water Absorb","This Pokemon is immune to Water-type moves and restores 1/4 of its maximum HP, rounded down, when hit by a Water-type move.",
"Water Veil","This Pokemon cannot be burned. Gaining this Ability while burned cures it.",
"White Smoke","Prevents other Pokemon from lowering this Pokemon's stat stages.",
"Wonder Guard","This Pokemon is only damaged by supereffective moves and indirect damage.",
