"Aromatherapy","Grass","Status",0,true,5,0,"allyTeam","Every Pokemon in the user's party is cured of its non-volatile status condition. Active Pokemon with the Sap Sipper Ability are not cured, unless they are the user.",
"Aromatic Mist","Fairy","Status",0,true,20,0,"adjacentAlly","Raises the target's Special Defense by 1 stage. Fails if there is no ally adjacent to the user.",
"Assist","Normal","Status",0,true,20,0,"self","A random move among those known by the user's party members is selected for use. Does not select Assist, Baneful Bunker, Beak Blast, Belch, Bestow, Bounce, Celebrate, Chatter, Circle Throw, Copycat, Counter, Covet, Destiny Bond, Detect, Dig, Dive, Dragon Tail, Endure, Feint, Fly, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Mat Block, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Nature Power, Phantom Force, Protect, Rage Powder, Roar, Shadow Force, Shell Trap, Sketch, Sky Drop, Sleep Talk, Snatch, Spiky Shield, Spotlight, Struggle, Switcheroo, Thief, Transform, Trick, Whirlwind, or any Z-Move.",
"Assurance","Dark","Physical",60,100,10,0,"normal","Power doubles if the target has already taken damage this turn, other than direct damage from Belly Drum, confusion, Curse, or Pain Split.",
"Astonish","Ghost","Physical",30,100,15,0,"normal","Has a 30% chance to make the target flinch.",
"Attack Order","Bug","Physical",90,100,15,0,"normal","Has a higher chance for a critical hit.",
"Attract","Normal","Status",0,100,15,0,"normal","Causes the target to become infatuated, making it unable to attack 50% of the time. Fails if both the user and the target are the same gender, if either is genderless, or if the target is already infatuated. The effect ends when either the user or the target is no longer active. Pokemon with the Oblivious Ability or protected by the Aroma Veil Ability are immune.",
"Aura Sphere","Fighting","Special",80,true,20,0,"any","This move does not check accuracy.",
"Aurora Beam","Ice","Special",65,100,20,0,"normal","Has a 10% chance to lower the target's Attack by 1 stage.",
"Aurora Veil","Ice","Status",0,true,20,0,"allySide","For 5 turns, the user and its party members take 0.5x damage from physical and special attacks, or 0.66x damage if in a Double Battle; does not reduce damage further with Reflect or Light Screen. Critical hits ignore this protection. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Brick Break and Psychic Fangs remove the effect before damage is calculated. Lasts for 8 turns if the user is holding Light Clay. Fails unless the weather is Hail.",
"Autotomize","Steel","Status",0,true,15,0,"self","Raises the user's Speed by 2 stages. If the user's Speed was changed, the user's weight is reduced by 100 kg as long as it remains active. This effect is stackable but cannot reduce the user's weight to less than 0.1 kg.",
"Avalanche","Ice","Physical",60,100,10,-4,"normal","Power doubles if the user was hit by the target this turn.",
"Baby-Doll Eyes","Fairy","Status",0,100,30,1,"normal","Lowers the target's Attack by 1 stage.",
"Baneful Bunker","Poison","Status",0,true,10,4,"self","The user is protected from most attacks made by other Pokemon during this turn, and Pokemon making contact with the user become poisoned. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Detect, Endure, King's Shield, Protect, Quick Guard, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",
"Barrage","Normal","Physical",15,85,20,0,"normal","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",
"Barrier","Psychic","Status",0,true,20,0,"self","Raises the user's Defense by 2 stages.",
"Baton Pass","Normal","Status",0,true,40,0,"self","The user is replaced with another Pokemon in its party. The selected Pokemon has the user's stat stage changes, confusion, and certain move effects transferred to it.",
"Beak Blast","Flying","Physical",100,100,15,-3,"normal","If the user is hit by a contact move this turn before it can execute this move, the attacker is burned.",
"Beat Up","Dark","Physical",0,100,10,0,"normal","Hits one time for the user and one time for each unfainted Pokemon without a non-volatile status condition in the user's party. The power of each hit is equal to 5+(X/10), where X is each participating Pokemon's base Attack; each hit is considered to come from the user.",
"Belch","Poison","Special",120,90,10,0,"normal","This move cannot be selected until the user eats a Berry, either by eating one that was held, stealing and eating one off another Pokemon with Bug Bite or Pluck, or eating one that was thrown at it with Fling. Once the condition is met, this move can be selected and used for the rest of the battle even if the user gains or uses another item or switches out. Consuming a Berry with Natural Gift does not count for the purposes of eating one.",
"Belly Drum","Normal","Status",0,true,10,0,"self","Raises the user's Attack by 12 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack stat stage is 6.",
"Bestow","Normal","Status",0,true,15,0,"normal","The target receives the user's held item. Fails if the user has no item or is holding a Mail or Z-Crystal, if the target is already holding an item, if the user is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, a Pokemon that can Mega Evolve holding the Mega Stone for its species, or if the target is one of those Pokemon and the user is holding the respective item.",
"Bide","Normal","Physical",0,true,10,1,"self","The user spends two turns locked into this move and then, on the second turn after using this move, the user attacks the last Pokemon that hit it, inflicting double the damage in HP it lost to attacks during the two turns. If the last Pokemon that hit it is no longer active, the user attacks a random opposing Pokemon instead. If the user is prevented from moving during this move's use, the effect ends. This move does not check accuracy and does not ignore type immunity.",
"Bind","Normal","Physical",15,85,20,0,"normal","Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Rapid Spin or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",
"Bite","Dark","Physical",60,100,25,0,"normal","Has a 30% chance to make the target flinch.",
"Black Hole Eclipse","Dark","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Blast Burn","Fire","Special",150,90,5,0,"normal","If this move is successful, the user must recharge on the following turn and cannot select a move.",
"Blaze Kick","Fire","Physical",85,90,10,0,"normal","Has a 10% chance to burn the target and a higher chance for a critical hit.",
"Blizzard","Ice","Special",110,70,5,0,"allAdjacentFoes","Has a 10% chance to freeze the target. If the weather is Hail, this move does not check accuracy.",
"Block","Normal","Status",0,true,5,0,"normal","Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field.",
"Bloom Doom","Grass","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Blue Flare","Fire","Special",130,85,5,0,"normal","Has a 20% chance to burn the target.",
"Body Slam","Normal","Physical",85,100,15,0,"normal","Has a 30% chance to paralyze the target. Damage doubles and no accuracy check is done if the target has used Minimize while active.",
"Bolt Strike","Electric","Physical",130,85,5,0,"normal","Has a 20% chance to paralyze the target.",
"Bone Club","Ground","Physical",65,85,20,0,"normal","Has a 10% chance to make the target flinch.",
"Bone Rush","Ground","Physical",25,90,10,0,"normal","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",
"Bonemerang","Ground","Physical",50,90,10,0,"normal","Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",
"Boomburst","Normal","Special",140,100,10,0,"allAdjacent","No additional effect.",
"Bounce","Flying","Physical",85,85,5,0,"any","Has a 30% chance to paralyze the target. This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister, and Gust and Twister have doubled power when used against it. If the user is holding a Power Herb, the move completes in one turn.",
"Brave Bird","Flying","Physical",120,100,15,0,"any","If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP.",
"Breakneck Blitz","Normal","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Brick Break","Fighting","Physical",75,100,15,0,"normal","If this attack does not miss, the effects of Reflect, Light Screen, and Aurora Veil end for the target's side of the field before damage is calculated.",
"Brine","Water","Special",65,100,10,0,"normal","Power doubles if the target has less than or equal to half of its maximum HP remaining.",
"Brutal Swing","Dark","Physical",60,100,20,0,"allAdjacent","No additional effect.",
"Bubble","Water","Special",40,100,30,0,"allAdjacentFoes","Has a 10% chance to lower the target's Speed by 1 stage.",
"Bubble Beam","Water","Special",65,100,20,0,"normal","Has a 10% chance to lower the target's Speed by 1 stage.",
"Bug Bite","Bug","Physical",60,100,20,0,"normal","If this move is successful and the user has not fainted, it steals the target's held Berry if it is holding one and eats it immediately, gaining its effects even if the user's item is being ignored. Items lost to this move cannot be regained with Recycle or the Harvest Ability.",
"Bug Buzz","Bug","Special",90,100,10,0,"normal","Has a 10% chance to lower the target's Special Defense by 1 stage.",
"Bulk Up","Fighting","Status",0,true,20,0,"self","Raises the user's Attack and Defense by 1 stage.",
"Bulldoze","Ground","Physical",60,100,20,0,"allAdjacent","Has a 100% chance to lower the target's Speed by 1 stage.",
"Bullet Punch","Steel","Physical",40,100,30,1,"normal","No additional effect.",
"Bullet Seed","Grass","Physical",25,100,30,0,"normal","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",
"Burn Up","Fire","Special",130,100,5,0,"normal","Fails unless the user is a Fire type. If this move is successful, the user's Fire type becomes typeless as long as it remains active.",
"Calm Mind","Psychic","Status",0,true,20,0,"self","Raises the user's Special Attack and Special Defense by 1 stage.",
"Camouflage","Normal","Status",0,true,20,0,"self","The user's type changes based on the battle terrain. Normal type on the regular Wi-Fi terrain, Electric type during Electric Terrain, Fairy type during Misty Terrain, Grass type during Grassy Terrain, and Psychic type during Psychic Terrain. Fails if the user's type cannot be changed or if the user is already purely that type.",
"Captivate","Normal","Status",0,100,20,0,"allAdjacentFoes","Lowers the target's Special Attack by 2 stages. The target is unaffected if both the user and the target are the same gender, or if either is genderless. Pokemon with the Oblivious Ability are immune.",
"Catastropika","Electric","Physical",210,true,1,0,"normal","No additional effect.",
"Celebrate","Normal","Status",0,true,40,0,"self","No competitive use.",
"Charge","Electric","Status",0,true,20,0,"self","Raises the user's Special Defense by 1 stage. If the user uses an Electric-type attack on the next turn, its power will be doubled.",
"Charge Beam","Electric","Special",50,90,10,0,"normal","Has a 70% chance to raise the user's Special Attack by 1 stage.",
"Charm","Fairy","Status",0,100,20,0,"normal","Lowers the target's Attack by 2 stages.",
"Chatter","Flying","Special",65,100,20,0,"any","Has a 100% chance to confuse the target.",
"Chip Away","Normal","Physical",70,100,20,0,"normal","Ignores the target's stat stage changes, including evasiveness.",
"Circle Throw","Fighting","Physical",60,90,10,-6,"normal","If both the user and the target have not fainted, the target is forced to switch out and be replaced with a random unfainted ally. This effect fails if the target is under the effect of Ingrain, has the Suction Cups Ability, or this move hit a substitute.",
"Clamp","Water","Physical",35,85,15,0,"normal","Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Rapid Spin or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",
"Clanging Scales","Dragon","Special",110,100,5,0,"allAdjacentFoes","Lowers the user's Defense by 1 stage.",
"Clangorous Soulblaze","Dragon","Special",185,true,1,0,"allAdjacentFoes","Raises the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",
"Clear Smog","Poison","Special",50,true,15,0,"normal","Resets all of the target's stat stages to 0.",
"Close Combat","Fighting","Physical",120,100,5,0,"normal","Lowers the user's Defense and Special Defense by 1 stage.",
"Coil","Poison","Status",0,true,20,0,"self","Raises the user's Attack, Defense, and accuracy by 1 stage.",
"Comet Punch","Normal","Physical",18,85,15,0,"normal","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",
"Confide","Normal","Status",0,true,20,0,"normal","Lowers the target's Special Attack by 1 stage.",
"Confuse Ray","Ghost","Status",0,100,10,0,"normal","Causes the target to become confused.",
"Confusion","Psychic","Special",50,100,25,0,"normal","Has a 10% chance to confuse the target.",
"Constrict","Normal","Physical",10,100,35,0,"normal","Has a 10% chance to lower the target's Speed by 1 stage.",
"Continental Crush","Rock","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Conversion","Normal","Status",0,true,30,0,"self","The user's type changes to match the original type of the move in its first move slot. Fails if the user cannot change its type, or if the type is one of the user's current types.",
"Conversion 2","Normal","Status",0,true,30,0,"normal","The user's type changes to match a type that resists or is immune to the type of the last move used by the target, but not either of its current types. The determined type of the move is used rather than the original type. Fails if the target has not made a move, if the user cannot change its type, or if this move would only be able to select one of the user's current types.",
"Copycat","Normal","Status",0,true,20,0,"self","The user uses the last move used by any Pokemon, including itself. Fails if no move has been used, or if the last move used was Assist, Baneful Bunker, Beak Blast, Belch, Bestow, Celebrate, Chatter, Circle Throw, Copycat, Counter, Covet, Destiny Bond, Detect, Dragon Tail, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Mat Block, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Nature Power, Protect, Rage Powder, Roar, Shell Trap, Sketch, Sleep Talk, Snatch, Spiky Shield, Spotlight, Struggle, Switcheroo, Thief, Transform, Trick, Whirlwind, or any Z-Move.",
"Core Enforcer","Dragon","Special",100,100,10,0,"allAdjacentFoes","If the user moves after the target, the target's Ability is rendered ineffective as long as it remains active. If the target uses Baton Pass, the replacement will remain under this effect. If the target's Ability is Battle Bond, Comatose, Disguise, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, or Zen Mode, this effect does not happen, and receiving the effect through Baton Pass ends the effect immediately.",
"Corkscrew Crash","Steel","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Cosmic Power","Psychic","Status",0,true,20,0,"self","Raises the user's Defense and Special Defense by 1 stage.",
"Cotton Guard","Grass","Status",0,true,10,0,"self","Raises the user's Defense by 3 stages.",
"Cotton Spore","Grass","Status",0,100,40,0,"allAdjacentFoes","Lowers the target's Speed by 2 stages.",
"Counter","Fighting","Physical",0,100,20,-5,"scripted","Deals damage to the last opposing Pokemon to hit the user with a physical attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical attack this turn.",
"Covet","Normal","Physical",60,100,25,0,"normal","If this attack was successful and the user has not fainted, it steals the target's held item if the user is not holding one. The target's item is not stolen if it is a Mail or Z-Crystal, or if the target is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, or a Pokemon that can Mega Evolve holding the Mega Stone for its species. Items lost to this move cannot be regained with Recycle or the Harvest Ability.",
"Crabhammer","Water","Physical",100,90,10,0,"normal","Has a higher chance for a critical hit.",
"Crafty Shield","Fairy","Status",0,true,10,3,"allySide","The user and its party members are protected from non-damaging attacks made by other Pokemon, including allies, during this turn. Fails if the user moves last this turn or if this move is already in effect for the user's side.",
"Cross Chop","Fighting","Physical",100,80,5,0,"normal","Has a higher chance for a critical hit.",
"Cross Poison","Poison","Physical",70,100,20,0,"normal","Has a 10% chance to poison the target and a higher chance for a critical hit.",
"Crunch","Dark","Physical",80,100,15,0,"normal","Has a 20% chance to lower the target's Defense by 1 stage.",
"Crush Claw","Normal","Physical",75,95,10,0,"normal","Has a 50% chance to lower the target's Defense by 1 stage.",
"Crush Grip","Normal","Physical",0,100,5,0,"normal","Power is equal to 120 * (target's current HP / target's maximum HP), rounded half down, but not less than 1.",
"Curse","Ghost","Status",0,true,10,0,"normal","If the user is not a Ghost type, lowers the user's Speed by 1 stage and raises the user's Attack and Defense by 1 stage. If the user is a Ghost type, the user loses 1/2 of its maximum HP, rounded down and even if it would cause fainting, in exchange for the target losing 1/4 of its maximum HP, rounded down, at the end of each turn while it is active. If the target uses Baton Pass, the replacement will continue to be affected. Fails if there is no target or if the target is already affected.",
"Cut","Normal","Physical",50,95,30,0,"normal","No additional effect.",
"Dark Pulse","Dark","Special",80,100,15,0,"any","Has a 20% chance to make the target flinch.",
"Dark Void","Dark","Status",0,50,10,0,"allAdjacentFoes","Causes the target to fall asleep. This move cannot be used successfully unless the user's current form, while considering Transform, is Darkrai.",
"Darkest Lariat","Dark","Physical",85,100,10,0,"normal","Ignores the target's stat stage changes, including evasiveness.",
"Dazzling Gleam","Fairy","Special",80,100,10,0,"allAdjacentFoes","No additional effect.",
"Defend Order","Bug","Status",0,true,10,0,"self","Raises the user's Defense and Special Defense by 1 stage.",
"Defense Curl","Normal","Status",0,true,40,0,"self","Raises the user's Defense by 1 stage. As long as the user remains active, the power of the user's Ice Ball and Rollout will be doubled (this effect is not stackable).",
"Defog","Flying","Status",0,true,15,0,"normal","Lowers the target's evasiveness by 1 stage. If this move is successful and whether or not the target's evasiveness was affected, the effects of Reflect, Light Screen, Aurora Veil, Safeguard, Mist, Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the target's side, and the effects of Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the user's side. Ignores a target's substitute, although a substitute will still block the lowering of evasiveness.",
"Destiny Bond","Ghost","Status",0,true,5,0,"self","Until the user's next move, if an opposing Pokemon's attack knocks the user out, that Pokemon faints as well, unless the attack was Doom Desire or Future Sight. Fails if the user used this move successfully as its last move, disregarding moves used through the Dancer Ability.",
"Detect","Fighting","Status",0,true,5,4,"self","The user is protected from most attacks made by other Pokemon during this turn. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Detect, Endure, King's Shield, Protect, Quick Guard, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",
"Devastating Drake","Dragon","Physical",1,true,1,0,"normal","Power is equal to the base move's Z-Power.",
"Diamond Storm","Rock","Physical",100,95,5,0,"allAdjacentFoes","Has a 50% chance to raise the user's Defense by 2 stages.",
"Dig","Ground","Physical",80,100,10,0,"normal","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Earthquake and Magnitude but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn.",
"Disable","Normal","Status",0,100,20,0,"normal","For 4 turns, the target's last move used becomes disabled. Fails if one of the target's moves is already disabled, if the target has not made a move, if the target no longer knows the move, or if the move was a Z-Move. Z-Powered moves can still be selected and executed during this effect.",
"Disarming Voice","Fairy","Special",40,true,15,0,"allAdjacentFoes","This move does not check accuracy.",
"Discharge","Electric","Special",80,100,15,0,"allAdjacent","Has a 30% chance to paralyze the target.",
"Dive","Water","Physical",80,100,10,0,"normal","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Surf and Whirlpool but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn.",
"Dizzy Punch","Normal","Physical",70,100,10,0,"normal","Has a 20% chance to confuse the target.",
"Doom Desire","Steel","Special",140,100,5,0,"normal","Deals damage two turns after this move is used. At the end of that turn, the damage is calculated at that time and dealt to the Pokemon at the position the target had when the move was used. If the user is no longer active at the time, damage is calculated based on the user's natural Special Attack stat, types, and level, with no boosts from its held item or Ability. Fails if this move or Future Sight is already in effect for the target's position.",
"Double Hit","Normal","Physical",35,90,10,0,"normal","Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",
"Double Kick","Fighting","Physical",30,100,30,0,"normal","Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",
"Double Slap","Normal","Physical",15,85,10,0,"normal","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",
"Double Team","Normal","Status",0,true,15,0,"self","Raises the user's evasiveness by 1 stage.",
"Double-Edge","Normal","Physical",120,100,15,0,"normal","If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP.",
"Draco Meteor","Dragon","Special",130,90,5,0,"normal","Lowers the user's Special Attack by 2 stages.",
"Dragon Ascent","Flying","Physical",120,100,5,0,"any","Lowers the user's Defense and Special Defense by 1 stage.",
"Dragon Breath","Dragon","Special",60,100,20,0,"normal","Has a 30% chance to paralyze the target.",
"Dragon Claw","Dragon","Physical",80,100,15,0,"normal","No additional effect.",
"Dragon Dance","Dragon","Status",0,true,20,0,"self","Raises the user's Attack and Speed by 1 stage.",
"Dragon Hammer","Dragon","Physical",90,100,15,0,"normal","No additional effect.",
"Dragon Pulse","Dragon","Special",85,100,10,0,"any","No additional effect.",
"Dragon Rage","Dragon","Special",0,100,10,0,"normal","Deals 40 HP of damage to the target.",
"Dragon Rush","Dragon","Physical",100,75,10,0,"normal","Has a 20% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active.",
"Dragon Tail","Dragon","Physical",60,90,10,-6,"normal","If both the user and the target have not fainted, the target is forced to switch out and be replaced with a random unfainted ally. This effect fails if the target used Ingrain previously, has the Suction Cups Ability, or this move hit a substitute.",
"Drain Punch","Fighting","Physical",75,100,10,0,"normal","The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",
"Draining Kiss","Fairy","Special",50,100,10,0,"normal","The user recovers 3/4 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",
"Dream Eater","Psychic","Special",100,100,15,0,"normal","The target is unaffected by this move unless it is asleep. The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",
"Drill Peck","Flying","Physical",80,100,20,0,"any","No additional effect.",
"Drill Run","Ground","Physical",80,95,10,0,"normal","Has a higher chance for a critical hit.",
"Dual Chop","Dragon","Physical",40,90,15,0,"normal","Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",
"Dynamic Punch","Fighting","Physical",100,50,5,0,"normal","Has a 100% chance to confuse the target.",
"Earth Power","Ground","Special",90,100,10,0,"normal","Has a 10% chance to lower the target's Special Defense by 1 stage.",
"Earthquake","Ground","Physical",100,100,10,0,"allAdjacent","Damage doubles if the target is using Dig.",
"Echoed Voice","Normal","Special",40,100,15,0,"normal","For every consecutive turn that this move is used by at least one Pokemon, this move's power is multiplied by the number of turns to pass, but not more than 5.",
"Eerie Impulse","Electric","Status",0,100,15,0,"normal","Lowers the target's Special Attack by 2 stages.",
"Egg Bomb","Normal","Physical",100,75,10,0,"normal","No additional effect.",
"Electric Terrain","Electric","Status",0,true,10,0,"all","For 5 turns, the terrain becomes Electric Terrain. During the effect, the power of Electric-type attacks made by grounded Pokemon is multiplied by 1.5 and grounded Pokemon cannot fall asleep; Pokemon already asleep do not wake up. Grounded Pokemon cannot become affected by Yawn or fall asleep from its effect. Camouflage transforms the user into an Electric type, Nature Power becomes Thunderbolt, and Secret Power has a 30% chance to cause paralysis. Fails if the current terrain is Electric Terrain.",
"Electrify","Electric","Status",0,true,20,0,"normal","Causes the target's move to become Electric type this turn. Among effects that can change a move's type, this effect happens last. Fails if the target already moved this turn.",
"Electro Ball","Electric","Special",0,100,10,0,"normal","The power of this move depends on (user's current Speed / target's current Speed), rounded down. Power is equal to 150 if the result is 4 or more, 120 if 3, 80 if 2, 60 if 1, 40 if less than 1. If the target's current Speed is 0, this move's power is 40.",
"Electroweb","Electric","Special",55,95,15,0,"allAdjacentFoes","Has a 100% chance to lower the target's Speed by 1 stage.",
"Embargo","Dark","Status",0,100,15,0,"normal","For 5 turns, the target's held item has no effect. An item's effect of causing forme changes is unaffected, but any other effects from such items are negated. During the effect, Fling and Natural Gift are prevented from being used by the target. Items thrown at the target with Fling will still activate for it. If the target uses Baton Pass, the replacement will remain unable to use items.",
"Ember","Fire","Special",40,100,25,0,"normal","Has a 10% chance to burn the target.",
"Encore","Normal","Status",0,100,5,0,"normal","For its next 3 turns, the target is forced to repeat its last move used. If the affected move runs out of PP, the effect ends. Fails if the target is already under this effect, if it has not made a move, if the move has 0 PP, or if the move is Assist, Copycat, Encore, Me First, Metronome, Mimic, Mirror Move, Nature Power, Sketch, Sleep Talk, Struggle, Transform, or any Z-Move. Z-Powered moves can still be selected and executed during this effect.",
